ObjectId	ISO2	ISO3	Indicator	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
218	CD	COD	Wildfire																														1	1					1							
219	CG	COG	Drought				1																																							
220	CG	COG	Flood															1				1	1			1			1	1	1					2							2	2	1	1
221	CG	COG	TOTAL				1											1				1	1			1			1	1	1					2							2	2	1	1
222	CK	COK	Storm		1						1			1							1				1				1					1												
223	CK	COK	TOTAL		1						1			1							1				1				1					1												
224	CR	CRI	Drought															1				1																1				1				
225	CR	CRI	Flood	1								1			1		1	1		1			1		1	2	1	2	2		2	3		2	1	1			1			1			1	
226	CR	CRI	Landslide																					1																						
227	CR	CRI	Storm									1							1	2		1							1			1								1	1			1		1
228	CR	CRI	TOTAL	1								2			1	1	1	2	1	3		2	1	1	1	2	1	2	3		2	4		2	1	1		1	1	1	1	2		1	1	1
229	CR	CRI	Wildfire													1																														
230	CI	CIV	Drought	1																																										
231	CI	CIV	Flood										1							1											1	1		2				2	1	1	1	1	1	1		1
232	CI	CIV	Landslide																														1													
233	CI	CIV	TOTAL	1									1							1											1	1	1	2				2	1	1	1	1	1	1		1
234	HR	HRV	Drought																								1																			
235	HR	HRV	Extreme temperature																					1			1		1					1		2										
236	HR	HRV	Flood																					1	1				1	1				2		1		2	1			1	1			1
237	HR	HRV	Storm																										1												1					
238	HR	HRV	TOTAL																		1			3	1		3		3	1	2			3		3		2	1		2	1	1			1
239	HR	HRV	Wildfire																		1			1			1				2										1					
240	CU	CUB	Drought		1					1							1					1		1				1											1							
241	CU	CUB	Flood				1		1	1		1		2		1	2	1	1	2	1			1		1	1			1	1	1				1	1		1							1
242	CU	CUB	Storm	1		1			1			2					1	1	2	1		1	1		1	2		2	2	1	2	4				2				1	1	2	1	2	2	2
243	CU	CUB	TOTAL	1	1	1	1		2	2	1	3		2		1	4	2	3	3	1	2	2	2	1	3	1	3	2	2	3	5				3	1		2	1	1	2	1	2	2	3
244	CU	CUB	Wildfire								1												1																							
245	CY	CYP	Drought												1									1																						
246	CY	CYP	Extreme temperature																			1		1							1															
247	CY	CYP	Storm				1																				1	1																		
248	CY	CYP	TOTAL				1								1							1		3			1	1			1														1	
249	CY	CYP	Wildfire																					1																					1	
250	CZ	CZE	Extreme temperature																								1		1					1		2						1				
251	CZ	CZE	Flood																	1	1	1		1		1			1	2			1	3			1								1	
252	CZ	CZE	Storm																							2			1		1	1	1								1			1	2	2
253	CZ	CZE	TOTAL																	1	1	1		1		3	1		3	2	1	1	2	4		2	1				1	1		1	3	2
254	DK	DNK	Drought													1																														
255	DK	DNK	Storm	1	1		1		1					3									1			1			1		1			1			2									1
256	DK	DNK	TOTAL	1	1		1		1					3		1							1			1			1		1			1			2									1
257	DJ	DJI	Drought	1			1					1								1			1						1		1	1		1												1
258	DJ	DJI	Flood		1								1				1	1										1															1	1		
259	DJ	DJI	Storm																1																							1				
260	DJ	DJI	TOTAL	1	1		1					1	1				1	1	1	1			1					1	1		1	1		1								1	1	1		1
261	DM	DMA	Storm	1				1					1						2				1								1				1				1		1					
262	DM	DMA	TOTAL	1				1					1						2				1								1				1				1		1					
263	DO	DOM	Flood		1				1			1			1		2			1						1	2	1	1		2		2	2	1	2	1	1	2	2		1				2
264	DO	DOM	Storm	1						1	1		1						2	1		1			1		1	3	1		3	3		1	2	2			1	1	3	1		2	2	1
265	DO	DOM	TOTAL	1	1		1		1	1	1	1	1		1		2		2	2		1			1	1	3	4	3		5	3	2	3	3	4	1	1	3	3	3	2		2	2	3
266	DO	DOM	Wildfire				1																						1																	
267	EC	ECU	Drought																		1												1				1									
268	EC	ECU	Flood			1	1				1		1			1					2			1	2	2	1			1		1	1	2	1	1	1		1	2			1	1	2	5
269	EC	ECU	Landslide				1				1						3							2											1		2						1			
